machineID,datetime,time_in_cycles,voltmean_24h,rotatemean_24h,pressuremean_24h,vibrationmean_24h,voltsd_24h,rotatesd_24h,pressuresd_24h,vibrationsd_24h,voltmean_5d,rotatemean_5d,pressuremean_5d,vibrationmean_5d,voltsd_5d,rotatesd_5d,pressuresd_5d,vibrationsd_5d,error1,error2,error3,error4,error5,comp1,comp2,comp3,comp4,model,age,DI,RULWeek,failure,failed,RUL,RUL_I
11,4/21/2015,108,168.6651737,456.7086233,101.2238264,40.37981204,13.48036779,36.8553989,12.29484178,4.722926868,169.1111206,423.2668328,110.387097,39.94806523,3.224352842,36.9339287,10.86192846,0.963538736,0,0,0,0,0,0,0,0,0,model2,6,2.656680374,1,none,0,1,164
11,4/22/2015,109,164.8821171,444.730367,99.66950826,39.89573505,14.56341678,56.90134214,10.88720361,5.361575283,167.907729,419.2789723,110.2277367,39.76025932,3.501169022,32.10698373,11.04811824,0.829725101,0,0,0,0,0,0,0,0,0,model2,6,2.596474927,1,none,0,2,163
11,4/23/2015,110,164.5950783,454.9005229,102.0562999,40.81539916,13.92531213,47.67396963,9.735118628,5.893148358,166.0940467,430.7379925,107.1810788,39.91021559,1.614805615,32.65746464,10.7090576,0.956741452,0,0,0,0,0,0,0,0,0,model2,6,2.53763385,1,none,0,3,162
11,4/24/2015,111,170.4831458,457.6101568,104.7621517,38.67529689,17.58319434,44.50084516,10.77290276,5.814847732,167.0013053,446.4131912,103.0065472,39.98344224,2.52771251,16.63542539,3.037807895,0.805646173,0,0,0,0,0,0,0,0,0,model2,6,2.480126224,1,none,0,4,161
11,4/25/2015,112,164.5062027,453.1164269,97.55158971,41.45370314,16.10678151,53.86564897,9.328228002,4.613158265,166.6263435,453.4132194,101.0526752,40.24398926,2.770158551,5.151845628,2.691074191,1.047669019,0,0,0,0,0,0,0,0,0,model2,6,2.42392183,1,none,0,5,160
11,4/26/2015,113,171.8808789,455.178791,98.74518728,41.07382401,16.65080584,54.10726559,9.61532723,3.994518314,167.2694846,453.1072529,100.5569474,40.38279165,3.608333261,4.94862435,2.873760536,1.114034208,0,0,0,0,0,0,0,0,0,model2,6,2.368991136,1,none,0,6,159
11,4/27/2015,114,168.4667549,466.8214091,100.1180057,44.7212966,17.81093499,48.37832249,9.702054283,8.317329088,167.9864121,457.5254613,100.6466468,41.34790396,3.363193523,5.437337718,2.846001146,2.173274089,0,0,0,0,0,0,0,0,0,model2,6,2.315305275,1,none,0,7,158
11,4/28/2015,115,168.4071802,444.9185166,98.41697307,48.9923958,14.27619672,44.2025859,11.62719526,5.043212315,168.7488325,455.5290601,99.91878149,42.98330329,2.78449993,7.911624823,2.860693697,3.989815796,0,0,0,0,0,0,0,0,0,model2,6,2.262836039,2,none,0,8,157
11,4/29/2015,116,170.8313776,458.5196809,99.2404674,46.20373805,12.92613856,49.02374053,10.31576662,7.109240101,168.8184789,455.7109649,98.81444464,44.48899152,2.842475065,7.98158242,0.953722931,3.322322834,0,0,0,0,0,0,0,0,0,model2,6,2.211555856,2,none,0,9,156
11,4/30/2015,117,174.4093019,452.6171791,95.07612513,41.29715366,15.85304005,55.14155705,10.27634649,4.069610781,170.7990987,455.6111153,98.31935172,44.45768162,2.518231496,8.025158335,1.923083132,3.358618311,0,0,0,0,0,0,0,0,0,model2,6,2.16143778,2,none,0,10,155
